category,supplier_sku,description,size,colour,length_mm,tier2_price_ex_gst,rrp,carton_qty
Full panel,SKU-230425015257DUNEStd2700P,1800 Colorbond Std Panel 2365 2700 POST DUNE,2365,DUNE,,85.04,,
Full panel,SKU-220425053402,1500 Standard Panel 2365 MONUMENT,,MONUMENT,,78.51,,
Full panel,SKU-220425050931,2100 Standard Colorbond Panel 2365 MONUMENT,2100,MONUMENT,2365,94.24,,
Full panel,SKU-110425042828,1800 Raked Colorbond Panel 2365 with 2700 Posts MONUMENT,2365,MONUMENT,,94.24,,
Full panel,SKU-230425002624SMstd1800,1800 Colorbond Std Panel 2365 SURFMIST,2365,SURFMIST,,82.9,,
Full panel,SKU-230425002624SMR1800,1800 Colorbond Raked Panel 2365 SURFMIST,2365,SURFMIST,,92.2,,
Full panel,SKU-230425002624SMR2700P,1800 Colorbond Raked Panel 2365 2700 Posts SURFMIST,2365,SURFMIST,,94.34,,
Full panel,SKU-230425002624SMSTD2700P,1800 Colorbond STD Panel 2365 2700 Posts SURFMIST,2365,SURFMIST,,85.04,,
Full panel,SKU-230425002624SMSTD1500,1500 Colorbond STD Panel 2365 SURFMIST,2365,SURFMIST,,78.51,,
Full panel,SKU-230425002624SMSTD2100,2100 Colorbond STD Panel 2365 SURFMIST,2365,SURFMIST,,94.34,,
Full panel,SKU-230425002624,1800 Colorbond Standard Panel 2365 WOODLAND GREY,,WOODLAND GREY,,82.9,,
Full panel,SKU-230425002624WG27,1800 Stepped Colorbond Panel 2365 with 2700 posts WOODLAND GREY,,WOODLAND GREY,,85.04,,
Full panel,SKU-230425002624WG27R,1800 Raked Colorbond Panel 2365 with 2700 posts WOODLAND GREY,,WOODLAND GREY,,94.16,,
Gate,,CB S/Gate Kit 1800h x 910w BASALT,,BASALT,1800,140.73,,
Gate,,1800 Standard Colorbond® Panel 3125 BASALT,3125,BASALT,3.13,104.62,,
Gate,,1800 Standard Colorbond® Panel 3125 Cottage Green,3125,COTTAGE GREEN,3.13,104.62,,
Gate,,CB S/Gate Kit 1200h x 910w DUNE,,DUNE,1200,141.01,,
Gate,,CB S/Gate Kit 1200h x 910w EVENING HAZE,,EVENING HAZE,1200,141.01,,
Gate,,CB S/Gate Kit 1200h x 910w IRONSTONE,,IRONSTONE,1200,141.57,,
Gate,,1800 Standard Colorbond® Panel 2365 Monument,2365,MONUMENT,2.35,82.92,,
Gate,,CB S/Gate Kit 1200h x 910w PALE EUCALYPT,,PALE EUCALYPT,1200,141.04,,
Gate,,CB S/Gate Kit 1200h x 910w PAPERBARK,,PAPERBARK,1200,141.01,,
Gate,,CB S/Gate Kit 2100h x 1670w SHALE GREY,,SHALE GREY,2100,192.14,,
Gate,,CB S/Gate Kit 1200h x 910w SURFMIST,,SURFMIST,1200,141.03,,
Gate,,CB S/Gate Kit 1200h x 910w WOODLAND GREY,,WOODLAND GREY,1200,137.63,,
Gate Style,1220OriginalGateStyleStripPreGalSetBASALT,1220x50 Original Gate Style With Strip Pre-Gal Each Set BASALT,1220,BASALT,1220,42.0,,
Gate Style,1820OriginalGateStyleStripPreGalSetBasalt,1820x50 Original Gate Style With Strip Pre-Gal Each Set BASALT,1820,BASALT,1820,42.0,,
Gate Style,1220OriginalGateStyleStripPreGalSetCottageGreen,1220x50 Original Gate Style With Strip Pre-Gal Each Set COTTAGE GREEN,1220,COTTAGE GREEN,1220,42.0,,
Gate Style,1820OriginalGateStyleStripPreGalSetCottageGreen,1820x50 Original Gate Style With Strip Pre-Gal Each Set COTTAGE GREEN,1820,COTTAGE GREEN,1820,42.0,,
Gate Style,1220OriginalGateStyleStripPreGalSetDeepOcean,1220x50 Original Gate Style With Strip Pre-Gal Each Set DEEP OCEAN,1220,DEEP OCEAN,1220,42.0,,
Gate Style,1820OriginalGateStyleStripPreGalSetDeepOcean,1820x50 Original Gate Style With Strip Pre-Gal Each Set DEEP OCEAN,1820,DEEP OCEAN,1820,42.0,,
Gate Style,1220OriginalGateStyleStripPreGalSetDomain,1220x50 Original Gate Style With Strip Pre-Gal Each Set DOMAIN,1220,DOMAIN,1220,42.0,,
Gate Style,1820OriginalGateStyleStripPreGalSetDOMAIN,1820x50 Original Gate Style With Strip Pre-Gal Each Set DOMAIN,1820,DOMAIN,1820,42.0,,
Gate Style,1220OriginalGateStyleStripPreGalSetDune,1220x50 Original Gate Style With Strip Pre-Gal Each Set DUNE,1220,DUNE,1220,42.0,,
Gate Style,1820OriginalGateStyleStripPreGalSetDune,1820x50 Original Gate Style With Strip Pre-Gal Each Set DUNE,1820,DUNE,1820,42.0,,
Gate Style,1220OriginalGateStyleStripPreGalSetEveningHaze,1220x50 Original Gate Style With Strip Pre-Gal Each Set EVENING HAZE,1220,EVENING HAZE,1220,42.0,,
Gate Style,1820OriginalGateStyleStripPreGalSetEveningHaze,1820x50 Original Gate Style With Strip Pre-Gal Each Set EVENING HAZE,1820,EVENING HAZE,1820,42.0,,
Gate Style,1220OriginalGateStyleStripPreGalSetIronstone,1220x50 Original Gate Style With Strip Pre-Gal Each Set IRONSTONE,1220,IRONSTONE,1220,42.0,,
Gate Style,1820OriginalGateStyleStripPreGalSetIRONSTONE,1820x50 Original Gate Style With Strip Pre-Gal Each Set IRONSTONE,1820,IRONSTONE,1820,42.0,,
Gate Style,1220OriginalGateStyleStripPreGalSetJasper,1220x50 Original Gate Style With Strip Pre-Gal Each Set JASPER,1220,JASPER,1220,42.0,,
