system,brand,style,category,canonical_name,canonical_status,supplier_sku,description,size,colour,length_mm,tier2_ex_gst,tier2_inc_gst,carton_qty
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Ironstone,ratified,,CB S/Gate Kit 1500h x 910w IRONSTONE,,Ironstone,1500,137.59,151.35,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Ironstone,ratified,,CB S/Gate Kit 1500h x 1670w IRONSTONE,,Ironstone,1500,161.06,177.17,
colorbond,Metroll,Double gate,Gate,Colorbond Double Gate Ironstone,ratified,,CB D/Gate Kit 1500h x 3325w IRONSTONE,,Ironstone,1500,254.66,280.13,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Ironstone,ratified,,CB S/Gate Kit 1800h x 910w IRONSTONE,,Ironstone,1800,145.86,160.45,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Ironstone,ratified,,CB S/Gate Kit 1800h x 1670w IRONSTONE,,Ironstone,1800,170.6,187.66,
colorbond,Metroll,Double gate,Gate,Colorbond Double Gate Ironstone,ratified,,CB D/Gate Kit 1800h x 3325w IRONSTONE,,Ironstone,1800,280.9,308.99,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Ironstone,ratified,,CB S/Gate Kit 2100h x 910w IRONSTONE,,Ironstone,2100,164.8,181.28,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Ironstone,ratified,,CB S/Gate Kit 2100h x 1670w IRONSTONE,,Ironstone,2100,192.64,211.9,
colorbond,Metroll,Double gate,Gate,Colorbond Double Gate Ironstone,ratified,,CB D/Gate Kit 2100h x 3325w IRONSTONE,,Ironstone,2100,304.98,335.48,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Paperbark,ratified,,CB S/Gate Kit 1200h x 910w PAPERBARK,,Paperbark,1200,141.01,155.11,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Paperbark,ratified,,CB S/Gate Kit 1200h x 1670w PAPERBARK,,Paperbark,1200,161.46,177.61,
colorbond,Metroll,Double gate,Gate,Colorbond Double Gate Paperbark,ratified,,CB D/Gate Kit 1200h x 3325w PAPERBARK,,Paperbark,1200,255.46,281.01,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Paperbark,ratified,,CB S/Gate Kit 1500h x 910w PAPERBARK,,Paperbark,1500,133.18,146.5,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Paperbark,ratified,,CB S/Gate Kit 1500h x 1670w PAPERBARK,,Paperbark,1500,152.8,168.08,
colorbond,Metroll,Double gate,Gate,Colorbond Double Gate Paperbark,ratified,,CB D/Gate Kit 1500h x 3325w PAPERBARK,,Paperbark,1500,238.14,261.95,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Paperbark,ratified,,CB S/Gate Kit 1800h x 1670w PAPERBARK,,Paperbark,1800,170.04,187.04,
colorbond,Metroll,Double gate,Gate,Colorbond Double Gate Paperbark,ratified,,CB D/Gate Kit 1800h x 3325w PAPERBARK,,Paperbark,1800,272.62,299.88,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Paperbark,ratified,,CB S/Gate Kit 2100h x 910w PAPERBARK,,Paperbark,2100,163.87,180.26,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Paperbark,ratified,,CB S/Gate Kit 2100h x 1670w PAPERBARK,,Paperbark,2100,191.34,210.47,
colorbond,Metroll,Double gate,Gate,Colorbond Double Gate Paperbark,ratified,,CB D/Gate Kit 2100h x 3325w PAPERBARK,,Paperbark,2100,302.38,332.62,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Dune,ratified,,CB S/Gate Kit 1200h x 910w DUNE,,Dune,1200,141.01,155.11,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Dune,ratified,,CB S/Gate Kit 1200h x 1670w DUNE,,Dune,1200,161.46,177.61,
colorbond,Metroll,Double gate,Gate,Colorbond Double Gate Dune,ratified,,CB D/Gate Kit 1200h x 3325w DUNE,,Dune,1200,255.46,281.01,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Dune,ratified,,CB S/Gate Kit 1500h x 910w DUNE,,Dune,1500,137.03,150.73,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Dune,ratified,,CB S/Gate Kit 1500h x 1670w DUNE,,Dune,1500,160.5,176.55,
colorbond,Metroll,Double gate,Gate,Colorbond Double Gate Dune,ratified,,CB D/Gate Kit 1500h x 3325w DUNE,,Dune,1500,253.54,278.89,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Dune,ratified,,CB S/Gate Kit 1800h x 1670w DUNE,,Dune,1800,170.04,187.04,
colorbond,Metroll,Double gate,Gate,Colorbond Double Gate Dune,ratified,,CB D/Gate Kit 1800h x 3325w DUNE,,Dune,1800,272.62,299.88,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Dune,ratified,,CB S/Gate Kit 2100h x 910w DUNE,,Dune,2100,160.46,176.51,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Dune,ratified,,CB S/Gate Kit 2100h x 1670w DUNE,,Dune,2100,188.3,207.13,
